waste_type,total_generate_1k_tonnes,total_recycled_1k_tonnes,year,total_not_recycled_1k_tonnes
Construction & Demolition,1624,1618,2018,6
Ferrous Metals,1269,126,2018,1143
Paper/Cardboard,1054,586,2018,468
Plastics,949,41,2018,908
Food,763,126,2018,637
Wood/Timber,521,428,2018,93
Horticultural,320,227,2018,93
Textile/Leather,220,14,2018,206
Used Slag,181,179,2018,2
Non-Ferrous Metals,171,170,2018,1
Glass,64,12,2018,52
Scrap Tyres,32,29,2018,3
"Others (stones, ceramic, rubber, ect)",286,11,2018,275
Overall,7695,4726,2018,2969
Construction & Demolition,1440,1434,2019,6
Ferrous Metals,1278,1270,2019,8
Paper/Cardboard,1011,449,2019,562
Plastics,930,37,2019,893
Food,744,136,2019,608
Wood/Timber,438,289,2019,149
Horticultural,400,293,2019,107
Textile/Leather,168,6,2019,162
Used Slag,129,127,2019,2
Non-Ferrous Metals,126,124,2019,2
Glass,75,11,2019,64
Scrap Tyres,33,31,2019,2
"Others (stones, ceramic, rubber, ect)",210,15,2019,195
Overall,7234,4247,2019,2987
Paper/Cardboard,1144,432,2020,712
Ferrous Metals,934,930,2020,4
Plastics,868,36,2020,832
Construction & Demolition,825,822,2020,3
Food,665,126,2020,539
Horticultural,313,249,2020,64
Wood/Timber,304,195,2020,109
Textile/Leather,137,6,2020,131
Used slag,106,104,2020,2
Non-Ferrous Metals,75,73,2020,2
Glass,66,7,2020,59
Scrap Tyres,23,22,2020,1
"Others (stones, ceramic, rubber, ect)",193,21,2020,172
Overall,5880,3040,2020,2840
Construction & Demolition,1013,1011,2021,2
Ferrous Metals,1312,1306,2021,6
Paper/Cardboard,1136,437,2021,699
Plastics,982,58,2021,924
Food,817,154,2021,663
Wood/Timber,310,234,2021,76
Horticultural,332,277,2021,55
Textile/Leather,189,7,2021,182
Used Slag,182,181,2021,1
Non-Ferrous Metals,88,87,2021,1
Glass,74,9,2021,65
Scrap Tyres,27,26,2021,1
"Others (stones, ceramic, rubber, ect)",233,18,2021,215
Overall,6944,3826,2021,3118
Construction & Demolition,1424,1419,2022,5
Ferrous Metals,1338,1331,2022,7
Paper/Cardboard,1064,394,2022,670
Plastics,1001,57,2022,944
Food,813,146,2022,667
Wood/Timber,419,298,2022,121
Horticultural,221,188,2022,33
Textile/Leather,254,5,2022,249
Used Slag,169,166,2022,3
Non-Ferrous Metals,92,91,2022,1
Glass,73,11,2022,62
Scrap Tyres,26,25,2022,1
"Others (stones, ceramic, rubber, ect)",249,30,2022,219
Overall,7385,4188,2022,3197
Food,791,111,2016,680
Paper/Cardboard,1183,607,2016,576
Plastics,822,60,2016,762
Construction & Demolition,1595,1586,2016,9
Horticultural,321,209,2016,112
Wood/Timber,531,412,2016,119
Ferrous Metals,1358,1352,2016,6
Non-Ferrous Metals,97,96,2016,1
