country,FoodWaste2021kgcapitayear,FoodWaste2021tonsyear
Nigeria,189,37941470
Rwanda,164,2075405
Greece,142,1483996
Bahrain,132,216161
Malta,129,56812
Iraq,120,4734434
Tanzania,119,6907649
Saudi Arabia,105,3594080
Lebanon,105,717491
Yemen,104,3026946
Syria,104,1771842
Democratic Republic of the Congo,103,8912903
Uganda,103,4546237
Mozambique,103,3118416
Madagascar,103,2769594
Niger,103,2393877
Mali,103,2018765
Burkina Faso,103,2086893
Malawi,103,1913062
Chad,103,1637656
Somalia,103,1585898
Guinea,103,1311530
Burundi,103,1184127
South Sudan,103,1136015
Togo,103,830017
Sierra Leone,103,802371
Central African Republic,103,487305
Liberia,103,507043
Eritrea,103,359132
Gambia,103,241095
Guinea-Bissau,103,197266
Australia,102,2563110
Palestine,101,501602
Georgia,101,403573
Angola,100,3169523
Ivory Coast,100,2561140
Cameroon,100,2577064
Senegal,100,1622980
Zimbabwe,100,1458564
Benin,100,1175297
Israel,100,848395
Republic of the Congo,100,535851
Mauritania,100,450720
Lesotho,100,211661
Eswatini,100,114341
Djibouti,100,96962
Comoros,100,84742
Cape Verde,100,54765
Sao Tome and Principe,100,21422
Kenya,99,5217367
Sudan,97,4162396
Tajikistan,97,906209
United Arab Emirates,95,923675
Oman,95,470322
Kuwait,95,397727
Qatar,95,267739
Cyprus,95,113312
Mexico,94,11979364
Hungary,94,908669
Turkey,93,7762575
Jordan,93,939897
Azerbaijan,93,934872
Armenia,93,275195
Mauritius,93,118632
Seychelles,93,9128
Ethiopia,92,10327236
Botswana,92,211802
Namibia,92,229344
Gabon,92,199748
Equatorial Guinea,92,124670
Egypt,91,9136941
Algeria,91,3918529
Morocco,91,3319524
Uzbekistan,91,3001868
Malaysia,91,2921577
Tunisia,91,1064407
Papua New Guinea,91,798767
Kyrgyzstan,91,583951
Solomon Islands,91,60963
Vanuatu,91,27296
Kiribati,91,10704
Micronesia,91,10358
Luxembourg,90,55126
Philippines,86,9334477
Myanmar,86,4666125
Cambodia,86,1423397
Laos,86,618994
Timor-Leste,86,111643
France,85,5522358
Ghana,84,2555332
Portugal,84,861838
Croatia,84,348091
Andorra,84,6498
San Marino,84,2857
Gibraltar,84,2840
Haiti,83,936940
Serbia,83,726196
Bosnia and Herzegovina,83,273269
Albania,83,238492
North Macedonia,83,172480
Montenegro,83,51988
Afghanistan,82,3109153
North Korea,81,2070528
Sweden,81,812948
Denmark,81,469449
Bolivia,80,922012
Honduras,80,780504
Nicaragua,80,524188
El Salvador,80,516828
Singapore,80,465385
Brunei,80,34742
Thailand,79,5478532
Canada,79,2938321
Nepal,79,2249412
Norway,79,423857
Bhutan,79,60000
French Polynesia,79,21981
New Caledonia,79,22256
Guam,79,13167
Northern Mariana Islands,79,4502
Palau,79,1417
Nauru,79,850
Zambia,78,1391729
Mongolia,78,250173
Estonia,78,102743
Indonesia,77,20938252
United Kingdom,77,5199825
Spain,77,3613954
Vietnam,76,7346717
Ukraine,76,3344904
Sri Lanka,76,1617738
Kazakhstan,76,1404584
Libya,76,513146
Turkmenistan,76,449895
Moldova,76,307419
Lithuania,76,210255
Latvia,76,145273
Fiji,76,67385
Iceland,76,25829
Samoa,76,14923
Tonga,76,7912
Isle of Man,76,6446
Faroe Islands,76,3710
American Samoa,76,4187
Marshall Islands,76,4452
Tuvalu,76,878
Germany,75,6263775
Pakistan,74,15947645
Chile,74,1401043
Panama,74,313919
Uruguay,74,255909
Puerto Rico,74,216854
Trinidad and Tobago,74,103127
Bahamas,74,28794
Barbados,74,21217
Curacao,74,12079
Aruba,74,7858
USA,74,7733
Antigua and Barbuda,74,7178
Cayman Islands,74,4798
Bermuda,74,4606
Greenland,74,4178
Saint Kitts and Nevis,74,3903
Turks and Caicos Islands,74,2824
Sint Maarten,74,3134
Saint Martin,74,2809
British Virgin Islands,74,2218
Argentina,72,3243563
Peru,72,2354806
Venezuela,72,2065461
Ecuador,72,1258415
Guatemala,72,1273466
Dominican Republic,72,777849
Cuba,72,820910
Switzerland,72,616037
Paraguay,72,510256
Costa Rica,72,365609
Jamaica,72,213552
Guyana,72,56700
Suriname,72,42112
Saint Lucia,72,13241
Grenada,72,8112
Saint Vincent and the Grenadines,72,8011
Dominica,72,5201
Liechtenstein,72,2725
Monaco,72,2796
Iran,71,5884842
South Korea,71,3658024
Hong Kong,71,531023
Macau,71,45731
Maldives,71,37688
Colombia,70,3545499
Romania,70,1353077
Czech Republic,70,746894
Slovakia,70,381301
Belarus,68,646356
Bulgaria,68,478667
Italy,67,4059806
Bangladesh,65,10618233
Finland,65,361937
China,64,91646213
Japan,64,8159891
New Zealand,61,291769
Brazil,60,12578308
US,59,19359951
Poland,56,2119455
Ireland,55,267073
Belize,53,20564
India,50,68760163
Netherlands,50,854855
Belgium,50,576036
South Africa,40,2329228
Austria,39,349249
Slovenia,34,71107
Russia,33,4868564
